Latitude,Longitude,Name,City,State,County,Address,Sources
25.958103,-97.507493,Veterans International Bridge Los Tomates,Brownsville,Texas,Cameron,"3300 S. Expressway77/83. Brownsville, TX 78521",http://ftp.dot.state.tx.us/pub/txdot-info/iro/international-bridges.pdf
25.899196,-97.497278,Gateway International Bridge,Brownsville,Texas,Cameron,,https://www.mexpro.com/blog/cross-u-s-mexican-border-arizona
26.029376,-97.738782,Los Indios International Bridge,San Benito,Texas,Cameron,"Free Trade Bridge, San Benito, TX 78586",https://www.mexpro.com/blog/cross-new-mexicomexican-border
26.066122,-98.075123,Donna Rio Bravo International Bridge,Donna,Texas,Hidalgo,"8000 S., International Blvd, Donna, TX 78537",
26.088917,-98.200143,Phar-Reynosa International Bridge on the Rise,Pharr,Texas,Hidalgo,"9900 S Cage Blvd, Pharr, TX 78577",
26.097073,-98.269863,McAllen-Hidalgo International Bridge,McAllen,Texas,Hidalgo,"1023 International Blvd, Hidalgo, TX 78557",
26.117662,-98.317278,Anzalduas International Bridge,Mission,Texas,Hidalgo,"78572, 5911 Stewart Rd, Mission, TX 78573",
26.367419,-98.801455,Starr Camargo Bridge,Rio Grande City,Texas,Starr,"405 Estrella St # C, Roma, TX 78584",
26.559538,-99.167149,Falcon Dam Port of Entry,Falcon,Texas,Starr,"FM 2098 Spur, Falcon Heights, Texas 78545",https://en.wikipedia.org/wiki/List_of_Mexico%E2%80%93United_States_border_crossings#Texas%E2%80%93Tamaulipas
26.403738,-99.018831,Roma-Ciudad Miguel Alemán International Bridge,Roma,Texas,Starr,"405 N. Estrella St., Suite B. Roma, TX 78584",https://www.cbp.gov/contact/ports
29.334091,-100.918164,Del Rio Port of Entry,Del Rio,Texas,Val Verde,"3140 Spur 239, International Bridge. Del Rio, TX 78840",
26.239534,-98.563649,Los Ebanos - Diaz Ordaz Ferry,Los Ebanos,Texas,Hidalgo,"200 Flores St, Los Ebanos, TX 78565",
,,,,,,,
27.500673,-99.502453,Juárez-Lincoln International Bridge #2,Laredo,Texas,Webb,"700 Zaragoza St, Laredo, TX 78040",
27.501592,-99.507240,Gateway to the Americas International Bridge #1,Laredo,Texas,Webb,"100 Convent Ave, Laredo, TX 78040",
27.595341,-99.542805,World Trade Bridge #3,Laredo,Texas,Webb,"11601 Farm to Market 1472, Laredo, TX 78045",
27.700476,-99.744960,Laredo Colombia Solidarity International Bridge Bridge #4,Laredo,Texas,Webb,"TX-255, Laredo, TX 78045",
28.705830,-100.506111,Eagle Pass International Bridge I,,Texas,Eagle Pass,"160 E Garrison St, Eagle Pass, TX 78852",
29.334519,-100.917931,Del Río-Ciudad Acuña,,Texas,Del Río,"3140 State Loop 239, Del Rio, TX 78840",
29.453381,-101.060862,* Puente Internacional Presa la Amistad,,Coahuila,Del Río,"Highway 2, Del Rio, Coah.",
29.562386,-104.390693,Presidio-Ojinaga Port of Entry,,Texas,Presidio,"4902 US-67, Presidio, TX 79845",
31.448063,-106.115289,Fort Hancock Port of Entry,,Texas,Fort Hancock,"828 South HWY 1088, Fort Hancock, TX 79839",
31.432590,-106.148754,Tornillo-Guadalupe International Bridge,,Texas,Tornillo,"18051 Island Guadalupe Rd, Fabens, TX 79838",
31.672268, -106.334967,Ysleta-Zaragoza International Bridge,,Texas,El Paso,"797 S Zaragoza Rd, El Paso, TX 79927",
31.763936,-106.450620,Cordova Bridge of the Americas International Bridge,,Texas,El Paso,"3600 E Paisano Dr, El Paso, TX 79905",
31.750112,-106.486270,Paso del Norte International Bridge,,Texas,El Paso,"1011-1083 S El Paso St, El Paso, TX 79901",
31.750185,-106.485852,Santa Fe Port of Entry,,Texas,El Paso,"S Stanton St, El Paso, TX 79901",
31.783094,-106.678989,Santa Teresa-San Jerónimo Border,,New Mexico,Santa Teresa,"170 Pete V Domenici Hwy, Santa Teresa, NM 88008",
31.783841,-107.627837,Columbus-Puerto Palomas International Bridge,,New Mexico,Columbus,"NM-11, Mile Marker 0, Columbus, NM 88029",
31.340376,-108.528292,Antelope Wells-El Berrendo International Bridge,,New Mexico,Hachita ,"NM-81, Hachita, NM 88040",
31.334684,-109.559351,Raul H. Castro Douglas-Agua Prieta Port of Entry,Douglas,Arizona,,"1st St & Pan American Avenue, Douglas, AZ 85607",
31.334648,-109.942817,Naco Port of Entry,Naco,Arizona,,"3867 S Towner Ave, Naco, AZ 85620",
31.332831,-110.942758,Nogales-Morley Gate Port of Entry,Nogales,Arizona,,"9 N Grand Ave, Nogales, AZ 85621",
31.334031,-110.967250,Nogales-Mariposa Port of Entry,Nogales,Arizona,,"121-209 N Mariposa Rd, Nogales, AZ 85621",
31.483035,-111.544537,Sasabe Port of Entry,Sasabe,Arizona,,"South Sasabe Highway, Sasabe, AZ 85633",
31.880446,-112.816923,Lukeville-Sonoyta Port of Entry,Lukeville,Arizona,,"190 AZ-85, Lukeville, AZ 85341",
32.485378,-114.781406,San Luis  Port of Entry,San Luis,Arizona,,"431 Main St, San Luis, AZ 85349",
32.462392,-114.697510,San Luis II Port of Entry,Somerton,Arizona,,"Somerton, AZ 85350",
,,,Yuma,Arizona,,,
32.718364,-114.727803,Andrade Port of Entry,Andrade,California,,"235 Andrade Rd, Winterhaven, CA 92283",
32.675215,-115.388710,Calexico East Port of Entry,Calexico,California,,"1699 East Carr Rd, Calexico, CA 92231",
,,Calexico West Port of Entry,Calexico,California,,,
32.576983,-116.626965,Tecate Port of Entry,Tecate,California,,"405 Tecate Rd, Tecate, CA 91980",
32.550839,-116.938606,Otay Mesa Port of Entry,Otay,California,,"9777 Via De La Amistad, San Diego, CA 92154",
32.548301,-116.974440,"Cross Border Terminal, Tijuana International Airport",Otay,California,,"2745 Otay Pacific Drive, San Diego, CA 92154",
