common_district,Id,Id2,Geography,PARTY,Total; Estimate; Total population,Total; Margin of Error; Total population,Households; Estimate; Total,Households; Margin of Error; Total,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,FY 13 Awards,FY 14 Awards,FY 15 Awards,FY 16 Awards,FY 17 Awards,FY 18 Awards
alabama 1,5001500US0101,101,"Congressional District 1 (115th Congress), Alabama",R,704457,3112,264399,4299,47083,2274,0.0,0.0,0.0,0.0,0.0,0.0
alabama 2,5001500US0102,102,"Congressional District 2 (115th Congress), Alabama",R,681621,6239,259766,3730,42035,1165,0.0,0.0,0.0,0.0,19288.7,19288.7
alabama 3,5001500US0103,103,"Congressional District 3 (115th Congress), Alabama",R,709482,4694,270850,4642,46544,1553,0.0,0.0,0.0,0.0,0.0,0.0
alabama 4,5001500US0104,104,"Congressional District 4 (115th Congress), Alabama",R,683273,5034,256036,3945,41110,1063,0.0,0.0,0.0,0.0,0.0,171873.55
alabama 5,5001500US0105,105,"Congressional District 5 (115th Congress), Alabama",R,712529,877,278329,4056,51690,1204,0.0,0.0,0.0,0.0,14674.0,25672.0
alabama 6,5001500US0106,106,"Congressional District 6 (115th Congress), Alabama",R,706308,5741,267123,4039,61413,2137,0.0,0.0,0.0,0.0,1056718.0,1458613.75
alabama 7,5001500US0107,107,"Congressional District 7 (115th Congress), Alabama",D,665630,7888,256015,4403,34664,1269,0.0,0.0,0.0,183932.16,529581.22,608584.22
alaska 0,5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",R,741894,*****,248468,2841,76440,2230,0.0,37280965.9,4612348.99,94578491.12,336700252.09,416580067.1799999
arizona 1,5001500US0401,401,"Congressional District 1 (115th Congress), Arizona",D,766924,10818,249358,5907,50537,1177,0.0,0.0,0.0,0.0,0.0,34306.0
arizona 2,5001500US0402,402,"Congressional District 2 (115th Congress), Arizona",R,722770,11620,301297,4789,49072,1914,0.0,0.0,0.0,0.0,0.0,44939.12
arizona 3,5001500US0403,403,"Congressional District 3 (115th Congress), Arizona",D,752284,17180,242621,5013,44224,1528,0.0,0.0,0.0,17161.76,8266.44,0.0
arizona 4,5001500US0404,404,"Congressional District 4 (115th Congress), Arizona",R,753807,12768,296652,4761,49466,1808,0.0,0.0,6921.53,0.0,0.0,6921.53
arizona 5,5001500US0405,405,"Congressional District 5 (115th Congress), Arizona",R,785110,12782,274044,5559,71693,1949,0.0,0.0,0.0,21358.57,4727.0,4351.0
arizona 6,5001500US0406,406,"Congressional District 6 (115th Congress), Arizona",R,764776,16691,313796,6743,67830,2287,0.0,0.0,0.0,144338.8,2356311.88,2223890.67
arizona 7,5001500US0407,407,"Congressional District 7 (115th Congress), Arizona",D,818387,22796,245571,5579,40991,949,0.0,0.0,162378.93,0.0,20567.35,360107.91000000003
arizona 8,5001500US0408,408,"Congressional District 8 (115th Congress), Arizona",R,782511,12157,286511,5199,61754,1428,0.0,0.0,0.0,0.0,0.0,40960.0
arizona 9,5001500US0409,409,"Congressional District 9 (115th Congress), Arizona",,784502,19251,309202,6754,55349,1359,0.0,0.0,0.0,311944.0,120696.19,388470.88
arkansas 1,5001500US0501,501,"Congressional District 1 (115th Congress), Arkansas",R,725733,3255,273559,3973,40492,1039,0.0,0.0,0.0,0.0,0.0,0.0
arkansas 2,5001500US0502,502,"Congressional District 2 (115th Congress), Arkansas",R,758929,1748,293331,4006,49498,1906,0.0,0.0,0.0,0.0,18604.43,525.0
arkansas 3,5001500US0503,503,"Congressional District 3 (115th Congress), Arkansas",R,794237,3633,303127,3284,47903,1441,0.0,0.0,0.0,0.0,0.0,0.0
arkansas 4,5001500US0504,504,"Congressional District 4 (115th Congress), Arkansas",R,709349,4800,272701,4712,39586,1473,0.0,0.0,0.0,0.0,0.0,0.0
california 1,5001500US0601,601,"Congressional District 1 (115th Congress), California",R,703162,4603,273669,3690,47488,1778,0.0,0.0,0.0,0.0,0.0,0.0
california 2,5001500US0602,602,"Congressional District 2 (115th Congress), California",D,716202,5366,283904,3871,66604,2368,0.0,0.0,0.0,0.0,0.0,71600.0
california 3,5001500US0603,603,"Congressional District 3 (115th Congress), California",D,740253,5318,251190,3240,61508,1575,0.0,0.0,0.0,0.0,103499.0,204468.0
california 4,5001500US0604,604,"Congressional District 4 (115th Congress), California",R,737169,6466,274386,3929,74074,2636,0.0,0.0,0.0,38197.35,1346104.0,2922303.73
california 5,5001500US0605,605,"Congressional District 5 (115th Congress), California",D,735968,8328,262302,4818,73006,2152,0.0,0.0,0.0,0.0,0.0,13069932.65
california 6,5001500US0606,606,"Congressional District 6 (115th Congress), California",D,763987,8751,271977,4767,51932,1159,11428.13,11428.13,11428.13,26332.65,18584.92,62357.57
california 7,5001500US0607,607,"Congressional District 7 (115th Congress), California",D,738468,8538,261127,4299,68735,2988,0.0,43764.38,3665863.39,3665863.39,3709627.77,4800682.89
california 8,5001500US0608,608,"Congressional District 8 (115th Congress), California",R,723600,9155,232951,4263,49194,2628,0.0,0.0,0.0,0.0,0.0,0.0
california 9,5001500US0609,609,"Congressional District 9 (115th Congress), California",D,760794,7672,237359,3578,61454,1920,0.0,0.0,0.0,0.0,0.0,0.0
california 10,5001500US0610,610,"Congressional District 10 (115th Congress), California",R,744989,5117,235531,2972,60235,1664,0.0,0.0,0.0,0.0,0.0,0.0
california 11,5001500US0611,611,"Congressional District 11 (115th Congress), California",D,756337,6793,266301,3365,86000,3314,0.0,3918900.07,0.0,0.0,0.0,5922697.1
