DETLOC,Name,OrigName,County,State
AAORDMD,Anne Arundel County Correctional Center,ANNE ARUNDEL COUNTY ORDNANCE ROAD CORRECTIONAL CTR,ANNE ARUNDEL,MD
ABQHOLD,ALBUQUERQUE HOLD ROOM,ALBUQUERQUE HOLD ROOM,BERNALILLO,NM
ABRXSPA,ABRAXAS ACADEMY DETENTION CENTER,ABRAXAS ACADEMY DETENTION CENTER,BERKS,PA
ADLNTCA,ADELANTO ICE PROCESSING CENTER,ADELANTO ICE PROCESSING CENTER,SAN BERNARDINO,CA
AFRC,ARTESIA FAMILY RESIDENTIAL CENTER,ARTESIA FAMILY RESIDENTIAL CENTER,COUNTY,NM
AGMDCCA,ANAHEIM GLOBAL MEDICAL CENTER,ANAHEIM GLOBAL MEDICAL CENTER,ORANGE,CA
ALBCONY,ALBANY COUNTY JAIL,ALBANY COUNTY JAIL,KINGS,NY
ALEXAVA,ALEXANDRIA CITY JAIL,ALEXANDRIA CITY JAIL,ALEXANDRIA CITY,VA
ALLEGNY,ALLEGANY COUNTY JAIL,ALLEGANY COUNTY JAIL,ALLEGANY,NY
ALLEGPA,ALLEGHENY COUNTY JAIL,ALLEGHENY COUNTY JAIL,ALLEGHENY,PA
ANCHOAK,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,AK
APIBHCA,ALVARADO PARKWAY INSTITUTE,ALVARADO PARKWAY INSTITUTE,SAN DIEGO,CA
APPSCLA,ALLEN PARISH PUBLIC SAFETY COMPLEX,ALLEN PARISH PUBLIC SAFETY COMPLEX,ALLEN,LA
ARRMCCA,Arrowhead Regional Medical Center,ARROWHEAD REGIONAL MED CENTER,COUNTY,CA
ASHRSFL,ATLANTIC SHORES HOSPITAL,ATLANTIC SHORES HOSPITAL,BROWARD,FL
ATLANGA,ATLANTA CITY DETENTION CENTER,ATLANTA CITY DETENTION CENTER,FULTON,GA
ATLHOLD,ATLANTA DISTRICT HOLD ROOM,ATLANTA DISTRICT HOLD ROOM,FULTON,GA
BAKERFL,BAKER COUNTY SHERIFF'S OFFICE,BAKER COUNTY SHERIFF'S OFFICE,BAKER,FL
BALDWAL,BALDWIN COUNTY CORRECTIONAL CENTER,BALDWIN COUNTY CORRECTIONAL CENTER,BALDWIN,AL
BALHOLD,Baltimore Field Office,BALTIMORE DD&P,BALTIMORE,MD
BASILLA,SOUTH LOUISIANA DETENTION CENTER,SOUTH LOUISIANA DETENTION CENTER,EVANGELINE,LA
BEAVRPA,BEAVER COUNTY JAIL,BEAVER COUNTY JAIL,BEAVER,PA
BEDCITX,BEDFORD MUNICIPAL DETENTION CENTER,BEDFORD MUNICIPAL DETENTION CENTER,TARRANT,TX
BEDFOOH,BEDFORD HEIGHTS CITY JAIL,BEDFORD HEIGHTS CITY JAIL,CUYAHOGA,OH
BEFAMPA,BERKS COUNTY FAMILY SHELTER,BERKS COUNTY FAMILY SHELTER,BERKS,PA
BERGENJ,BERGEN COUNTY JAIL,BERGEN COUNTY JAIL,BERGEN,NJ
BKLHOLD,BAKERFIELD HOLD,BAKERFIELD HOLD,SUMMIT,CA
BLHHOLD,BELLINGHAM HOLDROOM,BELLINGHAM BPS ERO HOLDROOM,WHATCOM,WA
BOONEKY,BOONE COUNTY JAIL,BOONE COUNTY JAIL,BOONE,KY
BOPCAA,United States Penitentiary Canaan,USP CANAAN,WAYNE,PA
BOPHON,HONOLULU FEDERAL DETENTION CENTER,HONOLULU FEDERAL DETENTION CENTER,HONOLULU,HI
BOPOAD,OAKDALE FEDERAL DETENTION CENTER,OAKDALE FEDERAL DETENTION CENTER,ALLEN,LA
BOPSDC,SAN DIEGO Municipal Correctional Center,SAN DIEGO MCC,SAN DIEGO,CA
BOPSPG,SPRINGFIELD FEDERAL MEDICAL CENTER,SPRINGFIELD FEDERAL MEDICAL CENTER,GREENE,MO
BOPTHA,TERRE HAUTE United States Penitentiary,TERRE HAUTE USP,VIGO,IN
BREMEIA,BREMER COUNTY JAIL,BREMER COUNTY JAIL,BREMER,IA
BRINDMA,BRISTOL COUNTY DETENTION CENTER,BRISTOL COUNTY DETENTION CENTER,BRISTOL,MA
BROKSTX,BROOKS COUNTY DETENTION CENTER,BROOKS COUNTY DETENTION CENTER,BROOKS,TX
BTV,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,BUFFALO (BATAVIA) SERVICE PROCESSING CENTER,GENESEE,NY
BURNETX,BURNET COUNTY JAIL,BURNET COUNTY JAIL,BURNET,TX
BUTLEKS,BUTLER COUNTY JAIL,BUTLER COUNTY JAIL,BUTLER,KS
BUTLEOH,BUTLER COUNTY JAIL,BUTLER COUNTY JAIL,BUTLER,OH
BWMARCA,BEST WESTERN MARINA,BEST WESTERN MARINA,SAN DIEGO,CA
CACFMES,MESA VERDE DETENTION FACILITY,MESA VERDE DETENTION FACILITY,KERN,CA
CACHEUT,CACHE COUNTY JAIL,CACHE COUNTY JAIL,CACHE,UT
CACTYCA,CALIFORNIA CITY CORRECTIONAL CENTER,CALIFORNIA CITY CORRECTIONAL CENTER,KERN,CA
CALDWMO,CALDWELL COUNTY DETENTION CENTER,CALDWELL COUNTY DETENTION CENTER,CALDWELL,MO
CALHOMI,CALHOUN COUNTY CORRECTIONAL CENTER,CALHOUN COUNTY CORRECTIONAL CENTER,BRANCH,MI
CAMBRPA,CAMBRIA COUNTY JAIL,CAMBRIA COUNTY JAIL,CAMBRIA,PA
CARJAMN,CARVER COUNTY JAIL,CARVER COUNTY JAIL,CARVER,MN
CASCAMT,CASCADE COUNTY JAIL MONTANA,CASCADE COUNTY JAIL (MONTANA),CASCADE,MT
CASSCNE,CASS COUNTY JAIL,CASS COUNTY JAIL,CASS,NE
CBENDTX,COASTAL BEND DETENTION FACILITY,COASTAL BEND DETENTION FACILITY,NUECES,TX
CCADCAZ,CENTRAL ARIZONA DETENTION CENTER,CCA CENTRAL ARIZONA DETENTION CENTER,PINAL,AZ
CCAFLAZ,FLORENCE CORRECTIONAL CENTER,"CCA, FLORENCE CORRECTIONAL CENTER",PINAL,AZ
CCAHUTX,T. Don Hutto Residential Center,HUTTO CCA,WILLIAMSON,TX
CCANOOH,NORTHEAST OHIO CORRECTIONAL Center,NORTHEAST OHIO CORRECTIONAL CTR (YOUNGSTOWN CDF),MAHONING,OH
CCASDCA,OTAY MESA DETENTION CENTER,OTAY MESA DETENTION CENTER (SAN DIEGO CDF),SAN DIEGO,CA
CHACONY,CHAUTAUQUA COUNTY JAIL,CHAUTAUQUA COUNTY JAIL,CHAUTAUQUA,NY
CHARLSC,CHARLESTON COUNTY DETENTION CENTER,CHARLESTON COUNTY DETENTION CENTER,CHARLESTON,SC
CHASEKS,CHASE COUNTY DETENTION FACILITY,CHASE COUNTY DETENTION FACILITY,CHASE,KS
CHIPPMI,CHIPPEWA COUNTY Jail,CHIPPEWA COUNTY SSM,CHIPPEWA,MI
CHRISMO,CHRISTIAN COUNTY JAIL,CHRISTIAN COUNTY JAIL,CHRISTIAN,MO
CIBOCNM,CIBOLA COUNTY CORRECTIONAL CENTER,CIBOLA COUNTY CORRECTIONAL CENTER,CIBOLA,NM
CKHOSFL,COLUMBIA KENDAL HOSPITAL,COLUMBIA KENDAL HOSPITAL,MIAMI-DADE,FL
CLAYCIN,CLAY COUNTY JAIL,CLAY COUNTY JAIL,CLAY,IN
CLICONY,CLINTON COUNTY JAIL,CLINTON COUNTY JAIL,CLINTON,NY
CLINTPA,CLINTON COUNTY CORRECTIONAL FACILITY,CLINTON COUNTY CORRECTIONAL FACILITY,CLINTON,PA
COBBJGA,COBB COUNTY JAIL,COBB COUNTY JAIL,COBB,GA
COLCASC,COLUMBIA CARE CENTER,COLUMBIA CARE CENTER,RICHLAND,SC
