award_id,recipient_name,parent_name,recipient_city,recipient_state,current_total_value,potential_total_value,awarding_office_name,awarding_office_cat,naics_description,naics_cat,award_description,product_combo,company_combo
HSCEDM14F00011,Alutiiq Diversified Services,Afognak Native,Anchorage,AK,5135635.83,5573643.41,Detention Compliance And Removals,Detention Compliance And Removals,Administrative Management,Consulting,Facilities Maintenance Solicitation,Administrative Management||Consulting,Alutiiq Diversified Services||Afognak Native
70CDCR18FR0000003,Ahtna Support & Training Services,Ahtna,Anchorage,AK,35319616.42,35319616.42,Detention Compliance And Removals,Detention Compliance And Removals,Security,Carceral Services,Guard Services for PIDC,Security||Carceral Services,Ahtna Support & Training Services||Ahtna
HSCEDM15D00001,Ahtna Support & Training Services,Ahtna,Anchorage,AK,,326808585.5,Detention Management - Laguna,Detention Management,Security,Carceral Services,Guard Services,Security||Carceral Services,Ahtna Support & Training Services||Ahtna
HSCEDM17J00007,Ahtna Support & Training Services,Ahtna,Anchorage,AK,49125180.94,49125180.94,Detention Management - Laguna,Detention Management,Security,Carceral Services,PiDC Guard and Food Service Contract,Security||Carceral Services,Ahtna Support & Training Services||Ahtna
HSCETE17P00051,Copper River Enterprise Services,Alaska Native Government Services,Anchorage,AK,251800,251800,Information Technology Division,Information Technology,Surveillance Equipment,Telecom,Mobile Threat Detection Service,Surveillance Equipment||Telecom,Copper River Enterprise Services||Alaska Native Government Services
HSCEMR12C00006,Bowhead Support Group,Bowhead,Anchorage,AK,16415527.46,16415527.46,Mission Support Dallas,Mission Support,Scanning,IT,Document Scanning and Data Entry Services,Scanning||IT,Bowhead Support Group||Bowhead
70CDCR18FR0000061,Global Precision Systems,Global Precision Systems,Anchorage,AK,699999.93,699999.93,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,"Armed Ground Transportation Service - Baltimore, MD",Guards||Carceral Services,Global Precision Systems||Global Precision Systems
HSCEDM15D00009,Global Precision Systems,Global Precision Systems,Nome,AK,,296728894,Detention Management - Laguna,Detention Management,Guards,Carceral Services,Detention & Transportation Services,Guards||Carceral Services,Global Precision Systems||Global Precision Systems
HSCEDM16J00050,Global Precision Systems,Global Precision Systems,Nome,AK,39239793.7,39239793.7,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,Detention & Transportation Services,Guards||Carceral Services,Global Precision Systems||Global Precision Systems
HSCEDM17D00010,Global Precision Systems,Global Precision Systems,Anchorage,AK,,24573262.26,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,"Armed Ground Transportation Service - Baltimore, MD",Guards||Carceral Services,Global Precision Systems||Global Precision Systems
HSCEDM17J00027,Global Precision Systems,Global Precision Systems,Anchorage,AK,3575764.86,3575764.86,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,"Armed Ground Transportation Service - Baltimore, MD",Guards||Carceral Services,Global Precision Systems||Global Precision Systems
HSCEDM17J00035,Global Precision Systems,Global Precision Systems,Nome,AK,40148869.15,40148869.15,Detention Compliance And Removals,Detention Compliance And Removals,Guards,Carceral Services,Detention & Transportation Services El Paso Service Processing Center,Guards||Carceral Services,Global Precision Systems||Global Precision Systems
70CMSW18FR0000015,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,559335.5,2863994.5,Mission Support Washington,Mission Support,Detention Services,Trade & Manufacturing,Operations and Maintenance San Pedro CA Facility,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMR15F00009,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,5361338.75,14458106.87,Mission Support Dallas,Mission Support,Detention Services,Trade & Manufacturing,Service Processing Center Operation and Maintenance,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMR15F00040,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,388217.32,388217.32,Mission Support Orlando,Mission Support,Detention Services,Trade & Manufacturing,Fire Safety Repairs at the El Paso Service Processing Center,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMR15P00026,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,1177752.9,1177752.9,Mission Support Orlando,Mission Support,Detention Services,Trade & Manufacturing,San Pedro Service Processing Center Operation and Maintenance,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMR16P00007,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,2130174.88,3095294.43,Mission Support Orlando,Mission Support,Detention Services,Trade & Manufacturing,El Paso Co-Location Operation and Maintenance,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMS16C00002,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,506180.31,715333.16,Mission Support Washington,Mission Support,Detention Services,Trade & Manufacturing,El Centro Service Processing Center (SPC) Maintenance Services,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMS16F00019,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,3487932.62,10037323.58,Mission Support Washington,Mission Support,Detention Services,Trade & Manufacturing,Facilities Maintenance Support Services at PiDC With Kcorp Technology Services for the Period Effective 4/1/16 - 03/31/2019.,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMS17F00010,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,531047.15,531047.15,Mission Support Washington,Mission Support,Detention Services,Trade & Manufacturing,Facilities & Maintenance Support at Port Isabel Service Processing Center,Detention Services||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMS16F00015,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,30936.15,30936.15,Mission Support Washington,Mission Support,Extermination,Trade & Manufacturing,Emergency Services for 12 Months of Mosquito Larvicide and Fogger Services at the Port Isabel Detention Center,Extermination||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
HSCEMS17F00014,KCorp Support Services,K'oyitl'ots'ina,Fairbanks,AK,44242.32,44242.32,Mission Support Washington,Mission Support,Extermination,Trade & Manufacturing,"Zika Abatement Services June 1-30, 2018 at the Port Isabel Detention Center",Extermination||Trade & Manufacturing,KCorp Support Services||K'oyitl'ots'ina
