award_id_piid,current_total_value_of_award,recipient_name,financial_year,uniqueness,years
HSCEMD09F00020,4940,SHRED-IT USA INC.,2014,unique,2014-only
HSCEMD13F00105,9076.32,"M-PAK, INC.",2014,unique,2014-only
HSCEMS13J00001,8114309.61,HARRIS IT SERVICES CORPORATION,2014,unique,2014-only
HSCEMD09J00229,18691353.02,UNIVERSAL LANGUAGE CORPORATION,2014,unique,2014-only
HSCECR15F00014,8955,"FLYTECOMM, INC.",2015,unique,2015-only
HSCECR15P00020,11526.01,"JACK KNELLY'S OFFICE FURNITURE SPECIALTIES, INC.",2015,unique,2015-only
HSCECR15F00019,11655,SPS INDUSTRIAL INC.,2015,unique,2015-only
HSCECR15F00020,31898.84,"CLUB CAR, LLC",2015,unique,2015-only
HSCEMR15F00011,124998.8,VARNER MILLER ASSOCIATES,2015,unique,2015-only
HSCEDM15J00033,1710678.37,WABANA GROUP LLC,2015,unique,2015-only
HSCEDM16P00007,1000,REPUBLIC PROPERTIES CORP,2016,unique,2016-only
HSCEDM16P00089,1530.48,"CANAL ALARM DEVICES, INC.",2016,unique,2016-only
HSCETE16P00046,2141.81,DELITOR INC,2016,unique,2016-only
HSCEDM16F00013,2401,"ELECTRONIC DATA CARRIERS, INC.",2016,unique,2016-only
HSCEDM16P00116,2510.8,"A1 TECH PAL, INC",2016,unique,2016-only
HSCEDM16F00062,2562,"SEVA TECHNICAL SERVICES, INC.",2016,unique,2016-only
HSCEMD16P00030,3070.98,"TIME WARNER CABLE INFORMATION SERVICES (HAWAII), LLC",2016,unique,2016-only
HSCETE16F00002,3338.84,"COMPUTER PROJECTS OF ILLINOIS, INC.",2016,unique,2016-only
HSCEDM16P00031,3500,"WRIGGLESWORTH ENTERPRISES, INC.",2016,unique,2016-only
HSCEMS16F00049,3510.9,"OMNIFICS, INC.",2016,unique,2016-only
HSCEDM16P00014,3735,GENESIS RESOURCE INC,2016,unique,2016-only
HSCEDM16P00054,3974.04,"COMPUTECH INTERNATIONAL, INC.",2016,unique,2016-only
HSCEDM16P00027,4081.8,PHOENIX TEXTILE CORPORATION,2016,unique,2016-only
HSCEMS16F00013,4335,ATLANTIC MANAGEMENT CENTER INCORPORATED,2016,unique,2016-only
HSCEMS16P00028,4375,"NATIONAL SEPTEMBER 11 MEMORIAL AND MUSEUM AT THE WORLD TRADE CENTER FOUNDATION, INC.",2016,unique,2016-only
