lat,lon,DETLOC
37.388942,-120.57452,BOPATW
60.583659,-151.30003,AKWILCC
40.734241,-77.313578,YORKCME
40.2677,-74.2871,MONMONJ
43.626753,-88.738135,WIDODGE
45.174081,-93.876888,WRIGHMN
44.248742,-114.500931,ONEIDID
35.27845,-116.055014,CACFBAK
42.48526,-71.211469,BOSHOLD
40.660206,-74.003867,BOPBRO
33.238976,-102.835787,DICKETX
42.033012,-72.498933,CTOSBCI
40.729607,-73.555117,NASSANY
40.970376,-72.70984,SUFFONY
26.383236,-98.819217,STARRTX
35.264055,-111.490153,NAVSOAZ
39.058375,-94.900653,CCALEKS
39.099757,-76.845002,BAYAMPR
39.548359,-107.333515,GSCHOLD
35.321415,-106.569051,SANDONM
32.755614,-97.336014,TARRATX
29.384475,-95.002913,BOWCOTX
44.016828,-107.95576,WASHAWY
39.572766,-76.985991,CARROMD
33.431967,-94.043103,TEXARAR
33.498178,-93.777126,ARDCTEX
38.687196,-121.161069,CASPSAC
41.034904,-93.765671,CLARKIA
34.171217,-97.128892,CARTEOK
42.421538,-94.988186,SACCOIA
38.869678,-89.414136,BOPGRE
40.169713,-80.247789,WASHIPA
48.778202,-104.55742,SHERIMT
41.161943,-103.066015,CHEYENE
42.585212,-87.824755,KENOSW2
31.56668,-92.396314,BOPPOL
38.218655,-85.220677,SHELBKY
32.051719,-82.874223,BOPRAE
32.899779,-105.958996,OTERONM
37.298783,-77.333985,RSREGVA
31.749647,-106.486815,PDNHOLD
44.065826,-93.526787,BOPWAS
32.066082,-110.858752,AZDCTUC
33.752819,-117.8342,OGCMCCA
30.079528,-94.094471,JEFFETX
44.019289,-92.460899,OLMSTMN
30.728593,-90.520116,TANGILA
32.496359,-94.739738,GREGGTX
42.620554,-97.263983,CEDARNE
34.317748,-89.262007,CTLAFSL
28.799791,-97.007959,VICTOTX
48.311188,-102.390422,MOUNTND
36.038606,-86.820765,ROCKINH
26.76083,-81.437375,HENDRFL
39.287712,-76.616346,USMMD
40.15359,-88.961766,DEWITIL
30.832374,-92.617936,OAKHOLD
46.407573,-105.84562,CUSTEMT
41.34344,-94.013457,MADISIA
43.045749,-87.924375,WIMILSD
43.700812,-98.036831,DAVISSD
46.236646,-119.095081,FRANKWA
40.676564,-95.857818,OTOECNE
42.142623,-76.265377,TIOGANY
41.128393,-101.719792,KEICONE
38.086166,-102.61894,PROWECO
37.198181,-105.42661,COSTICO
42.013136,-89.328801,OGLECIL
32.378662,-86.307594,MONCJAL
39.054445,-76.633839,VTDCORR
36.825762,-108.02073,SJUANNM
37.982276,-101.754746,HAMILKS
41.791759,-110.54065,LINCOWY
38.811074,-91.148816,WARREMO
34.704368,-85.280739,WALKEGA
32.066684,-81.166054,CHATHGA
33.751444,-117.879468,SANANCA
39.768183,-104.862759,DENVECO
29.361655,-100.461402,MAVERTX
47.692241,-114.161774,LAKCOMT
42.115042,-96.708552,THURSNE
37.943312,-101.253917,KEACOKS
42.759601,-105.381174,CONVEWY
44.722569,-73.716988,NYCLINC
13.444257,144.786297,AGAHOLD
33.884911,-118.102851,CRTOSCA
42.765657,-73.811738,ALBHOLD
29.312671,-100.418822,KINNETX
36.068332,-79.402085,ALAMCNC
32.204286,-95.853849,ATTHOLD
38.882014,-78.505681,SHECOVA
30.710675,-91.356745,PTCOULA
40.801756,-83.511969,PASSANJ
41.104026,-80.654127,MAHONOH
40.261109,-103.801371,LOGANCO
29.596837,-89.823993,PLAQULA
46.235098,-112.121462,JEFFEMT
38.844127,-76.991658,SEH
39.17093,-91.819644,AUDRNMO
33.400604,-110.795769,GILAJAZ
47.665364,-117.427902,SPOKAWA
